round,average weight differences,train losses,test losses,test accuracies,average AUCs,Kappas
52,0,0.04750930102908569,3.115946537370135,0.1072,0.504,0.008000000000000012
53,0,0.035299422754542314,2.8847946741019084,0.1009,0.5005,0.0010000000000000132
54,0,0.03223218891410397,2.9282098515018538,0.121,0.5116666666666666,0.023333333333333324
55,0,0.03776952790761697,3.4808598566966453,0.1,0.5,0.0
56,0,0.05865979649242945,2.9435233052369134,0.1458,0.5254444444444444,0.05088888888888889
57,0,0.037814410225837494,2.977737349309739,0.1264,0.5146666666666666,0.029333333333333357
58,0,0.05014809745112871,2.6232183328859366,0.1344,0.5191111111111111,0.038222222222222206
59,0,0.029351672583543403,2.894755787150875,0.1,0.5,0.0
60,0,0.030965009231722435,3.837273008504491,0.1322,0.5178888888888888,0.03577777777777778
61,0,0.047980938494383736,3.6879116972540595,0.1,0.5,0.0
62,0,0.05538344728332959,2.917389004093826,0.1004,0.5002222222222222,0.00044444444444444176
63,0,0.04249695645725297,2.6057666152905505,0.1,0.5,1.5419764230904953e-17
64,0,0.03513256949874631,3.1451017735110725,0.1,0.5,0.0
65,0,0.02753849540466035,3.4139334350634534,0.1,0.5,0.0
66,0,0.04233640601865772,2.76552316489493,0.1,0.5,0.0
67,0,0.038046417540444966,3.0441144378321945,0.1,0.5,0.0
68,0,0.043622345835101446,2.99707654327344,0.1338,0.5187777777777778,0.03755555555555555
69,0,0.03475722651677642,2.959009393764909,0.1116,0.5064444444444445,0.012888888888888887
70,0,0.03718991583706156,2.5595481775368856,0.1015,0.5008333333333334,0.0016666666666666835
71,0,0.03889542960130711,2.9516183434018664,0.1,0.5,0.0
72,0,0.03716906747784378,4.120415212242467,0.1,0.5,0.0
73,0,0.04675012791209156,3.0973617256067363,0.1,0.5,0.0
74,0,0.052587672471127,2.8619939567177157,0.1,0.5,0.0
75,0,0.039091602865955796,3.2678083796410045,0.1488,0.5271111111111111,0.0542222222222222
76,0,0.04621049994701025,2.853322724627841,0.1074,0.5041111111111112,0.008222222222222226
